epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.00082,1.64201,2.59947,1.52187,0.91191,0.05352,0.2746,0.13406,1.52113,3.11751,1.38592,0.000647059,0.000647059,0.000647059
2,12.4716,1.56773,1.97442,1.47253,0.54987,0.33035,0.3914,0.17679,1.70361,2.58088,1.56159,0.00130072,0.00130072,0.00130072
3,17.8232,1.57232,1.85526,1.45812,0.46786,0.33239,0.33006,0.16616,1.73417,2.23737,1.58123,0.00194118,0.00194118,0.00194118
4,23.1435,1.54859,1.75026,1.44649,0.51072,0.32932,0.34144,0.15885,1.83109,3.07998,1.89284,0.0019406,0.0019406,0.0019406
5,28.3979,1.52382,1.68935,1.47777,0.50593,0.51831,0.50611,0.25019,1.66212,2.11704,1.607,0.0019208,0.0019208,0.0019208
6,33.7018,1.51704,1.58492,1.44477,0.65292,0.51268,0.57204,0.29418,1.55772,2.5308,1.48664,0.001901,0.001901,0.001901
7,39.0107,1.5091,1.49501,1.41564,0.61571,0.53239,0.5567,0.28265,1.54767,1.72321,1.41722,0.0018812,0.0018812,0.0018812
8,44.3049,1.46498,1.46219,1.38632,0.59896,0.48732,0.52408,0.26626,1.63937,1.80176,1.53659,0.0018614,0.0018614,0.0018614
9,49.5177,1.43473,1.4188,1.37075,0.57434,0.47887,0.51711,0.264,1.64112,1.65612,1.50133,0.0018416,0.0018416,0.0018416
10,54.769,1.46015,1.40684,1.40478,0.61702,0.5493,0.59211,0.31824,1.49476,1.65656,1.44314,0.0018218,0.0018218,0.0018218
11,59.9926,1.41196,1.33904,1.37241,0.69094,0.61717,0.69036,0.40009,1.46813,1.36754,1.36274,0.001802,0.001802,0.001802
12,65.3213,1.39716,1.30064,1.33954,0.7216,0.62791,0.71449,0.42792,1.33556,1.34029,1.29951,0.0017822,0.0017822,0.0017822
13,70.7141,1.37725,1.2731,1.325,0.74758,0.59155,0.67056,0.38666,1.46117,1.36774,1.35941,0.0017624,0.0017624,0.0017624
14,76.1162,1.38292,1.27852,1.3487,0.68317,0.59718,0.63237,0.36243,1.50341,1.44642,1.38588,0.0017426,0.0017426,0.0017426
15,81.4846,1.35755,1.22727,1.34274,0.7951,0.56056,0.67586,0.39592,1.45142,1.31031,1.38774,0.0017228,0.0017228,0.0017228
16,87.0295,1.33127,1.20694,1.29774,0.69019,0.62535,0.69155,0.40401,1.39023,1.26936,1.33192,0.001703,0.001703,0.001703
17,92.41,1.34504,1.18327,1.31316,0.64348,0.63662,0.66676,0.39346,1.362,1.33596,1.33375,0.0016832,0.0016832,0.0016832
18,97.7007,1.31365,1.13094,1.30005,0.70681,0.61118,0.68417,0.40497,1.34397,1.32924,1.31829,0.0016634,0.0016634,0.0016634
19,103.022,1.26571,1.12222,1.26487,0.69624,0.60691,0.67128,0.39381,1.41733,1.25962,1.36636,0.0016436,0.0016436,0.0016436
20,108.31,1.26896,1.07572,1.25116,0.78047,0.63662,0.72916,0.43314,1.38174,1.18341,1.29846,0.0016238,0.0016238,0.0016238
21,113.751,1.30327,1.10123,1.29402,0.73075,0.62691,0.70266,0.40512,1.39312,1.24881,1.30725,0.001604,0.001604,0.001604
22,119.174,1.28905,1.08824,1.26614,0.77448,0.58592,0.69719,0.42182,1.3372,1.28295,1.3075,0.0015842,0.0015842,0.0015842
23,124.559,1.25147,1.08791,1.25535,0.79984,0.64225,0.74917,0.45897,1.31428,1.14614,1.28171,0.0015644,0.0015644,0.0015644
24,130.007,1.25657,1.05868,1.25407,0.78868,0.60975,0.71379,0.42953,1.35998,1.20909,1.33633,0.0015446,0.0015446,0.0015446
25,135.346,1.2649,1.05654,1.24727,0.77301,0.63315,0.73287,0.42932,1.397,1.22112,1.33431,0.0015248,0.0015248,0.0015248
26,140.658,1.24709,1.03975,1.25075,0.86189,0.55211,0.70978,0.41258,1.3862,1.24406,1.36218,0.001505,0.001505,0.001505
27,145.913,1.23484,1.02115,1.24495,0.78275,0.6597,0.73702,0.43486,1.35853,1.13302,1.33003,0.0014852,0.0014852,0.0014852
28,151.217,1.22015,0.99773,1.23295,0.76208,0.65634,0.71304,0.43375,1.3403,1.16779,1.30275,0.0014654,0.0014654,0.0014654
29,156.501,1.21882,1.02878,1.24755,0.80488,0.65915,0.75008,0.45484,1.32067,1.18515,1.2773,0.0014456,0.0014456,0.0014456
30,161.845,1.2492,1.00811,1.25704,0.73218,0.63919,0.69792,0.40213,1.40272,1.21923,1.32099,0.0014258,0.0014258,0.0014258
31,167.231,1.23515,1.00194,1.23996,0.76984,0.65012,0.74309,0.45248,1.3563,1.12454,1.31337,0.001406,0.001406,0.001406
32,172.754,1.1962,0.99137,1.22393,0.79184,0.62535,0.73552,0.4369,1.37005,1.13144,1.30956,0.0013862,0.0013862,0.0013862
33,178.154,1.21067,0.97007,1.22091,0.78791,0.61408,0.71914,0.44298,1.32465,1.14903,1.29,0.0013664,0.0013664,0.0013664
34,183.593,1.20342,0.96041,1.2253,0.75364,0.57746,0.68234,0.4132,1.3913,1.26758,1.35967,0.0013466,0.0013466,0.0013466
35,189.022,1.16859,0.96103,1.20721,0.77235,0.66197,0.735,0.45788,1.33117,1.20872,1.28597,0.0013268,0.0013268,0.0013268
36,194.486,1.16589,0.94472,1.19912,0.67781,0.56299,0.6322,0.39371,1.3348,1.53798,1.27637,0.001307,0.001307,0.001307
37,199.89,1.16562,0.91482,1.20699,0.75683,0.62254,0.7088,0.4295,1.37832,1.21121,1.30224,0.0012872,0.0012872,0.0012872
38,205.277,1.15287,0.9293,1.2031,0.74937,0.63662,0.70725,0.42165,1.4173,1.16576,1.34361,0.0012674,0.0012674,0.0012674
39,210.64,1.15999,0.91488,1.19953,0.75398,0.64749,0.72351,0.44728,1.33213,1.13963,1.30401,0.0012476,0.0012476,0.0012476
40,216.038,1.15929,0.88658,1.1894,0.76633,0.65915,0.71787,0.44468,1.36196,1.09707,1.31333,0.0012278,0.0012278,0.0012278
41,221.381,1.15862,0.89984,1.18493,0.80428,0.6169,0.74725,0.45764,1.3565,1.09829,1.29301,0.001208,0.001208,0.001208
42,226.867,1.13261,0.91049,1.18965,0.78065,0.64225,0.71094,0.43064,1.34327,1.21841,1.31727,0.0011882,0.0011882,0.0011882
43,232.21,1.13157,0.87859,1.18943,0.75747,0.66761,0.75632,0.46827,1.36577,1.09037,1.30043,0.0011684,0.0011684,0.0011684
44,237.593,1.11627,0.87035,1.17054,0.81229,0.64225,0.75173,0.47453,1.31398,1.06353,1.26062,0.0011486,0.0011486,0.0011486
45,243.047,1.10444,0.84415,1.17273,0.79509,0.68169,0.76487,0.46705,1.32928,1.04223,1.27604,0.0011288,0.0011288,0.0011288
46,248.689,1.08471,0.86061,1.16403,0.80258,0.62985,0.73857,0.45137,1.30022,1.192,1.27121,0.001109,0.001109,0.001109
47,254.276,1.10593,0.84889,1.17061,0.79629,0.66197,0.77229,0.47473,1.34042,1.03893,1.28085,0.0010892,0.0010892,0.0010892
48,259.786,1.0764,0.8264,1.1298,0.78507,0.69296,0.78343,0.48961,1.33376,1.04254,1.27766,0.0010694,0.0010694,0.0010694
49,265.215,1.10645,0.86384,1.17049,0.77082,0.69577,0.77549,0.47354,1.33884,1.1391,1.28897,0.0010496,0.0010496,0.0010496
50,270.615,1.09256,0.83053,1.16125,0.81538,0.62204,0.75151,0.48362,1.2716,1.03226,1.25831,0.0010298,0.0010298,0.0010298
51,275.96,1.07691,0.82574,1.13437,0.79605,0.62535,0.74076,0.46699,1.30024,1.11088,1.28138,0.00101,0.00101,0.00101
52,281.301,1.0902,0.81485,1.13791,0.76471,0.6958,0.76261,0.49058,1.26506,1.02449,1.25506,0.0009902,0.0009902,0.0009902
53,286.617,1.05229,0.78329,1.12254,0.82472,0.6892,0.77323,0.48583,1.29017,1.02096,1.25122,0.0009704,0.0009704,0.0009704
54,291.963,1.04571,0.77745,1.13368,0.85115,0.6443,0.75454,0.47454,1.26896,1.10626,1.25804,0.0009506,0.0009506,0.0009506
55,297.268,1.03989,0.7765,1.12735,0.87207,0.6529,0.76403,0.48026,1.31205,1.02365,1.28337,0.0009308,0.0009308,0.0009308
56,302.591,1.05526,0.79091,1.13211,0.77962,0.68732,0.76652,0.48062,1.30323,1.06963,1.28145,0.000911,0.000911,0.000911
57,307.897,1.03358,0.74752,1.12089,0.84613,0.63509,0.74586,0.48852,1.28083,1.09245,1.26467,0.0008912,0.0008912,0.0008912
58,313.267,1.02734,0.75724,1.11592,0.82941,0.65634,0.77091,0.49146,1.2549,0.99607,1.24418,0.0008714,0.0008714,0.0008714
59,318.58,1.01715,0.76397,1.10969,0.79989,0.68451,0.77285,0.48801,1.2825,1.03895,1.26363,0.0008516,0.0008516,0.0008516
60,323.984,1.02272,0.75531,1.10397,0.84062,0.68344,0.78057,0.51116,1.24909,1.03585,1.2244,0.0008318,0.0008318,0.0008318
61,329.294,1.0254,0.74992,1.11266,0.80429,0.69014,0.77165,0.5011,1.25895,1.00843,1.23223,0.000812,0.000812,0.000812
62,334.63,0.99782,0.73863,1.11613,0.77342,0.67042,0.75198,0.46942,1.34097,1.13324,1.31351,0.0007922,0.0007922,0.0007922
63,339.959,1.00416,0.73735,1.09008,0.82008,0.69332,0.77803,0.50715,1.28895,1.02913,1.24558,0.0007724,0.0007724,0.0007724
64,345.302,0.98463,0.70202,1.09511,0.81452,0.65634,0.75795,0.4942,1.30151,1.08308,1.2771,0.0007526,0.0007526,0.0007526
65,350.74,0.98076,0.70515,1.08674,0.7639,0.69577,0.75712,0.48129,1.3032,1.07836,1.26717,0.0007328,0.0007328,0.0007328
66,356.532,0.99998,0.7102,1.09596,0.84918,0.66615,0.76906,0.48901,1.28573,1.01232,1.27176,0.000713,0.000713,0.000713
67,362.168,0.97693,0.70618,1.0863,0.81811,0.68419,0.7539,0.49561,1.24472,1.13748,1.21819,0.0006932,0.0006932,0.0006932
68,367.706,0.98814,0.70675,1.08667,0.7945,0.67324,0.75847,0.49954,1.26774,1.01701,1.24305,0.0006734,0.0006734,0.0006734
69,373.11,0.94876,0.67477,1.07803,0.81306,0.68451,0.77209,0.4906,1.29936,1.01147,1.27132,0.0006536,0.0006536,0.0006536
70,378.458,0.97455,0.69303,1.08375,0.86329,0.6507,0.77292,0.50723,1.27965,1.01369,1.26425,0.0006338,0.0006338,0.0006338
71,383.792,0.94853,0.6723,1.06624,0.77781,0.69025,0.768,0.50478,1.27985,1.10386,1.24624,0.000614,0.000614,0.000614
72,389.265,0.96083,0.66475,1.08533,0.81918,0.67042,0.77483,0.50725,1.26698,1.01692,1.25826,0.0005942,0.0005942,0.0005942
73,394.658,0.94343,0.67061,1.06749,0.78529,0.68732,0.76797,0.48253,1.3305,1.0497,1.28646,0.0005744,0.0005744,0.0005744
74,400.009,0.9652,0.65671,1.07782,0.78978,0.70904,0.78299,0.50257,1.27635,0.9952,1.25508,0.0005546,0.0005546,0.0005546
75,405.417,0.91827,0.65436,1.06576,0.81588,0.66479,0.77214,0.50403,1.26607,0.99263,1.24487,0.0005348,0.0005348,0.0005348
76,410.849,0.92922,0.65856,1.06364,0.83077,0.66375,0.77226,0.5016,1.27308,1.05996,1.25958,0.000515,0.000515,0.000515
77,416.347,0.92724,0.66736,1.06733,0.80489,0.69722,0.78445,0.51006,1.25259,1.01191,1.25925,0.0004952,0.0004952,0.0004952
78,421.803,0.90416,0.6263,1.0511,0.76595,0.68217,0.76783,0.49381,1.27107,1.03762,1.24569,0.0004754,0.0004754,0.0004754
79,427.129,0.90917,0.62837,1.05143,0.80092,0.69859,0.78003,0.51417,1.2506,0.9988,1.23947,0.0004556,0.0004556,0.0004556
80,432.617,0.89592,0.61999,1.03332,0.80092,0.67887,0.7668,0.49894,1.29544,1.01026,1.28164,0.0004358,0.0004358,0.0004358
81,438.066,0.8786,0.61707,1.05018,0.83533,0.68169,0.77271,0.5147,1.25843,1.00415,1.26004,0.000416,0.000416,0.000416
82,443.549,0.89715,0.64179,1.053,0.83484,0.64225,0.76638,0.51158,1.24305,1.02686,1.24522,0.0003962,0.0003962,0.0003962
83,448.998,0.8865,0.60153,1.04123,0.77034,0.68974,0.7564,0.50997,1.23781,1.0613,1.24256,0.0003764,0.0003764,0.0003764
84,454.433,0.86633,0.5988,1.03902,0.83617,0.66197,0.76395,0.51221,1.23282,1.0946,1.23809,0.0003566,0.0003566,0.0003566
85,459.835,0.87356,0.60187,1.0434,0.84936,0.63662,0.75688,0.50783,1.27288,1.09675,1.25628,0.0003368,0.0003368,0.0003368
86,465.268,0.88454,0.59986,1.04449,0.85665,0.64789,0.76954,0.51256,1.27103,1.05657,1.25635,0.000317,0.000317,0.000317
87,470.7,0.86366,0.57784,1.02955,0.79926,0.70659,0.77734,0.51065,1.25679,1.00449,1.24693,0.0002972,0.0002972,0.0002972
88,476.478,0.83598,0.57086,1.02358,0.83238,0.68546,0.78559,0.51946,1.25277,1.00033,1.24797,0.0002774,0.0002774,0.0002774
89,482.153,0.87677,0.5926,1.03941,0.85188,0.68046,0.78167,0.51957,1.26035,1.03647,1.23607,0.0002576,0.0002576,0.0002576
90,487.642,0.84908,0.57769,1.02584,0.81237,0.69519,0.7758,0.51525,1.27388,1.04263,1.24077,0.0002378,0.0002378,0.0002378
91,516.058,0.81279,0.57031,0.98571,0.76711,0.68661,0.74804,0.49892,1.27076,1.11411,1.25812,0.000218,0.000218,0.000218
92,521.407,0.78172,0.50963,0.96307,0.81242,0.66197,0.76891,0.51062,1.27877,0.97622,1.2566,0.0001982,0.0001982,0.0001982
93,526.596,0.75708,0.48017,0.95206,0.8572,0.65915,0.77909,0.52143,1.25409,0.97766,1.24428,0.0001784,0.0001784,0.0001784
94,531.805,0.7554,0.48992,0.95843,0.81424,0.66479,0.77196,0.5205,1.2607,0.97774,1.26193,0.0001586,0.0001586,0.0001586
95,536.997,0.73611,0.4601,0.95009,0.75811,0.67606,0.76488,0.51251,1.26683,1.01086,1.27288,0.0001388,0.0001388,0.0001388
96,542.199,0.73314,0.45922,0.944,0.85947,0.63099,0.76944,0.51762,1.25121,1.03538,1.25458,0.000119,0.000119,0.000119
97,547.382,0.71785,0.4494,0.93487,0.807,0.6507,0.76516,0.51229,1.25001,1.02403,1.24784,9.92e-05,9.92e-05,9.92e-05
98,552.623,0.71515,0.44998,0.94817,0.7681,0.66761,0.76279,0.51242,1.25615,1.03992,1.24958,7.94e-05,7.94e-05,7.94e-05
99,557.816,0.73139,0.45955,0.95285,0.81272,0.64787,0.76485,0.51714,1.25086,1.04607,1.24234,5.96e-05,5.96e-05,5.96e-05
100,563.135,0.71872,0.44284,0.93884,0.8752,0.61238,0.76282,0.51623,1.24939,1.04716,1.24722,3.98e-05,3.98e-05,3.98e-05
