epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80058,1.64201,2.59947,1.52187,0.91191,0.05352,0.2746,0.13406,1.52113,3.11751,1.38592,0.000647059,0.000647059,0.000647059
2,13.7979,1.55974,1.97239,1.46745,0.47959,0.33239,0.35087,0.15839,1.67247,2.55362,1.6075,0.00128771,0.00128771,0.00128771
3,19.3419,1.54843,1.83355,1.43478,0.52801,0.29306,0.32529,0.15189,1.74835,2.48814,1.65559,0.00190197,0.00190197,0.00190197
4,24.8451,1.52515,1.73686,1.43399,0.40915,0.44507,0.37366,0.18502,1.65578,2.52091,1.65358,0.0018812,0.0018812,0.0018812
5,30.3831,1.55053,1.71088,1.47779,0.57364,0.44507,0.48251,0.24775,1.68276,1.99753,1.58205,0.0018416,0.0018416,0.0018416
6,36.0205,1.50874,1.5887,1.43367,0.62744,0.49813,0.5422,0.28383,1.61637,1.76884,1.57023,0.001802,0.001802,0.001802
7,41.3698,1.47446,1.47025,1.38467,0.64353,0.49014,0.5668,0.29067,1.56599,1.64125,1.4583,0.0017624,0.0017624,0.0017624
8,47.0337,1.45309,1.45037,1.39251,0.7422,0.53521,0.63877,0.3576,1.47075,1.46716,1.39162,0.0017228,0.0017228,0.0017228
9,52.5971,1.41102,1.39521,1.36833,0.68942,0.52958,0.62088,0.34387,1.4542,1.48836,1.3956,0.0016832,0.0016832,0.0016832
10,58.0922,1.42172,1.37528,1.37487,0.67357,0.49577,0.58809,0.33771,1.45714,1.54122,1.42503,0.0016436,0.0016436,0.0016436
11,63.521,1.40215,1.31959,1.35943,0.64589,0.58028,0.63518,0.37792,1.38917,1.44516,1.35241,0.001604,0.001604,0.001604
12,69.0588,1.37857,1.26582,1.33356,0.77605,0.60282,0.69128,0.39468,1.40356,1.34761,1.33587,0.0015644,0.0015644,0.0015644
13,74.6086,1.37082,1.24039,1.30872,0.85786,0.56103,0.68564,0.39376,1.48068,1.32624,1.36979,0.0015248,0.0015248,0.0015248
14,80.2459,1.34923,1.25023,1.31943,0.68197,0.58873,0.65254,0.37901,1.39901,1.42462,1.3527,0.0014852,0.0014852,0.0014852
15,85.6046,1.31364,1.16953,1.30932,0.70974,0.675,0.71641,0.43459,1.34657,1.24563,1.30729,0.0014456,0.0014456,0.0014456
16,90.8762,1.30123,1.1761,1.28398,0.68956,0.63944,0.70233,0.4134,1.37548,1.23505,1.33361,0.001406,0.001406,0.001406
17,96.1264,1.2923,1.14308,1.28874,0.67744,0.6,0.67966,0.39526,1.35913,1.3605,1.31988,0.0013664,0.0013664,0.0013664
18,101.434,1.29581,1.10741,1.27942,0.77863,0.61431,0.72675,0.43608,1.36559,1.23731,1.28938,0.0013268,0.0013268,0.0013268
19,106.805,1.24481,1.07866,1.23443,0.77993,0.6,0.71678,0.42968,1.32361,1.15968,1.29994,0.0012872,0.0012872,0.0012872
20,112.164,1.23993,1.03989,1.23591,0.81644,0.65152,0.74977,0.43954,1.3298,1.15642,1.29954,0.0012476,0.0012476,0.0012476
21,117.858,1.25578,1.0562,1.26505,0.79536,0.58028,0.70903,0.4334,1.32809,1.21939,1.28084,0.001208,0.001208,0.001208
22,123.197,1.25677,1.02686,1.2364,0.74143,0.64618,0.72124,0.44859,1.30673,1.23494,1.28687,0.0011684,0.0011684,0.0011684
23,128.555,1.19945,1.03284,1.21895,0.78987,0.62817,0.72259,0.42587,1.34985,1.22148,1.33214,0.0011288,0.0011288,0.0011288
24,133.966,1.21681,1.02644,1.23126,0.77616,0.67606,0.75863,0.45429,1.37271,1.11519,1.32061,0.0010892,0.0010892,0.0010892
25,139.397,1.21637,1.00085,1.22102,0.78367,0.67887,0.74509,0.47323,1.27937,1.11062,1.27139,0.0010496,0.0010496,0.0010496
26,144.844,1.20113,0.98706,1.21768,0.72098,0.65508,0.71919,0.44583,1.30316,1.14896,1.27717,0.00101,0.00101,0.00101
27,150.143,1.15933,0.95555,1.19992,0.82311,0.64789,0.76599,0.47563,1.30963,1.10454,1.29455,0.0009704,0.0009704,0.0009704
28,155.456,1.15493,0.92224,1.18414,0.7738,0.67606,0.7633,0.47766,1.3031,1.07541,1.26084,0.0009308,0.0009308,0.0009308
29,160.768,1.14865,0.95801,1.19453,0.76194,0.72676,0.79848,0.49929,1.27081,1.06124,1.23523,0.0008912,0.0008912,0.0008912
