epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.804,1.64628,2.54769,1.48865,0.89421,0.07145,0.25508,0.12702,1.50044,3.06882,1.39634,0.000647059,0.000647059,0.000647059
2,342.552,1.52342,1.98839,1.46008,0.33768,0.09296,0.08785,0.03321,2.30025,3.35026,2.22598,0.00128771,0.00128771,0.00128771
3,523.897,1.58378,1.88043,1.47473,0.464,0.37465,0.35129,0.17318,1.63861,2.93046,1.72147,0.00190197,0.00190197,0.00190197
4,702.905,1.58056,1.76709,1.48021,0.40877,0.42817,0.36203,0.16178,1.69011,2.7025,1.72145,0.0018812,0.0018812,0.0018812
5,886.178,1.51543,1.6639,1.44132,0.47853,0.46479,0.4017,0.19904,1.69975,2.36718,1.61777,0.0018416,0.0018416,0.0018416
6,1082.73,1.51566,1.64631,1.43299,0.60488,0.49592,0.51856,0.25397,1.60399,2.10845,1.593,0.001802,0.001802,0.001802
7,1284.51,1.53307,1.52966,1.46616,0.65892,0.47042,0.5884,0.31269,1.5078,1.65831,1.45377,0.0017624,0.0017624,0.0017624
8,1478.12,1.49158,1.46271,1.40916,0.54582,0.30141,0.33732,0.16002,1.95966,2.30306,1.7599,0.0017228,0.0017228,0.0017228
9,1675.79,1.47021,1.44176,1.41956,0.59435,0.46197,0.49384,0.25678,1.63795,1.75688,1.48341,0.0016832,0.0016832,0.0016832
10,1873.48,1.44698,1.3867,1.37488,0.6631,0.5267,0.60274,0.32398,1.52625,1.58662,1.44982,0.0016436,0.0016436,0.0016436
11,2072.06,1.42739,1.34809,1.36081,0.68006,0.60282,0.66159,0.38319,1.43425,1.43899,1.39919,0.001604,0.001604,0.001604
12,2289.82,1.43557,1.35488,1.37084,0.72262,0.52676,0.62159,0.34516,1.48997,1.70815,1.45982,0.0015644,0.0015644,0.0015644
13,2517.8,1.42079,1.37925,1.35825,0.72624,0.6277,0.66838,0.37428,1.39952,1.56841,1.3644,0.0015248,0.0015248,0.0015248
14,2754.46,1.35273,1.26961,1.31181,0.70237,0.62488,0.68773,0.39617,1.37793,1.31123,1.33288,0.0014852,0.0014852,0.0014852
15,2990.7,1.37764,1.26819,1.32682,0.80323,0.5493,0.67634,0.3949,1.4101,1.36415,1.3297,0.0014456,0.0014456,0.0014456
16,3228.08,1.35055,1.27689,1.33443,0.74102,0.61972,0.71549,0.41917,1.39677,1.29648,1.3403,0.001406,0.001406,0.001406
17,3464.22,1.34478,1.22845,1.32012,0.73683,0.60728,0.71866,0.41282,1.37183,1.27525,1.31013,0.0013664,0.0013664,0.0013664
18,3696.09,1.30234,1.13636,1.28174,0.786,0.61972,0.7313,0.43777,1.37748,1.21143,1.28863,0.0013268,0.0013268,0.0013268
19,3929.66,1.31813,1.16193,1.27581,0.77359,0.63662,0.72514,0.45402,1.33574,1.20879,1.27468,0.0012872,0.0012872,0.0012872
20,4164.23,1.31175,1.15612,1.27063,0.72918,0.63709,0.71902,0.43994,1.34414,1.21848,1.29737,0.0012476,0.0012476,0.0012476
21,4397.74,1.23757,1.10127,1.24694,0.71195,0.66141,0.71945,0.43779,1.34623,1.22108,1.31537,0.001208,0.001208,0.001208
22,4632.09,1.27382,1.107,1.27424,0.77372,0.65352,0.74262,0.43973,1.34161,1.17988,1.28679,0.0011684,0.0011684,0.0011684
23,4850.67,1.23071,1.04857,1.24645,0.78206,0.65352,0.73046,0.44603,1.36525,1.21063,1.3098,0.0011288,0.0011288,0.0011288
